Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
225;28883;"Zygon";journal;"05912385, 14679744";"Open Library of Humanities";Yes;Yes;0,339;Q1;31;45;217;1886;132;195;0,69;41,91;27,59;0;10;United Kingdom;Western Europe;"Open Library of Humanities";"1966-2024";"Cultural Studies (Q1); Religious Studies (Q1); Education (Q3)";"Arts and Humanities; Social Sciences"
226;21100468901;"Retos";journal;"19882041, 15791726";"Federacion Espanola de Docentes de Educacion Fisica";Yes;No;0,338;Q1;33;1291;1300;61341;3565;1300;2,82;47,51;34,82;2;327;Spain;Western Europe;"Federacion Espanola de Docentes de Educacion Fisica";"2016-2025";"Cultural Studies (Q1); Gender Studies (Q2); Pharmacy (Q2); Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3)";"Health Professions; Medicine; Social Sciences"
227;21100202708;"Culture, Agriculture, Food and Environment";journal;"21539561, 21539553";"John Wiley &amp; Sons Inc.";No;No;0,337;Q1;19;12;38;369;34;31;0,65;30,75;52,63;0;8;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2024";"Cultural Studies (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Anthropology (Q2); Food Science (Q3)";"Agricultural and Biological Sciences; Social Sciences"
228;145648;"Refuge";journal;"19207336, 02295113";"York University Libraries";Yes;Yes;0,336;Q1;35;14;70;879;63;61;0,76;62,79;68,89;0;10;Canada;Northern America;"York University Libraries";"1996-2024";"Cultural Studies (Q1); Demography (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
229;28320;"Arethusa";journal;"00040975";"Johns Hopkins University Press";No;No;0,335;Q1;26;20;48;2145;17;45;0,33;107,25;53,33;0;1;United States;Northern America;"Johns Hopkins University Press";"1974-1975, 2002-2024";"Classics (Q1); Cultural Studies (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
230;21101012573;"Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya";journal;"18187919";"Novosibirsk State Technical University";Yes;Yes;0,335;Q1;6;126;401;4042;79;401;0,23;32,08;53,81;0;15;Russian Federation;Eastern Europe;"Novosibirsk State Technical University";"2019-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Anthropology (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
231;12573;"Food and Foodways";journal;"15423484, 07409710";"Taylor and Francis Ltd.";No;No;0,333;Q1;23;17;48;883;75;47;1,84;51,94;52,00;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-1994, 1999, 2001, 2007-2025";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Food Science (Q3); Health (social science) (Q3)";"Agricultural and Biological Sciences; Social Sciences"
232;19900191827;"Sikh Formations: Religion, Culture, Theory";journal;"17448727, 17448735";"Taylor and Francis Ltd.";No;No;0,332;Q1;17;36;79;1075;44;70;0,52;29,86;57,14;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2025";"Cultural Studies (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences"
233;6500153134;"African Identities";journal;"14725843, 14725851";"Routledge";No;No;0,329;Q1;21;173;118;8175;197;115;1,55;47,25;25,78;1;62;United States;Northern America;"Routledge";"2010-2025";"Cultural Studies (Q1); Anthropology (Q2)";"Social Sciences"
234;5800179610;"Review of Education, Pedagogy, and Cultural Studies";journal;"15563022, 10714413";"Taylor and Francis Ltd.";No;No;0,329;Q1;30;75;67;3121;92;64;1,48;41,61;54,26;0;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2025";"Cultural Studies (Q1); Education (Q3)";"Social Sciences"
235;21100201711;"Forum for World Literature Studies";journal;"21546711, 19498519";"Knowledge Hub Publishing Company Limited (Hong Kong)";No;No;0,328;Q1;6;43;173;1238;65;173;0,21;28,79;39,62;0;8;China;Asiatic Region;"Knowledge Hub Publishing Company Limited (Hong Kong)";"2009-2024";"Cultural Studies (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
236;6000159310;"Senses and Society";journal;"17458927, 17458935";"Taylor and Francis Ltd.";No;No;0,327;Q1;24;39;81;1315;97;75;1,47;33,72;65,91;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2025";"Cultural Studies (Q1); Communication (Q2)";"Social Sciences"
237;21100870589;"International Journal of Play";journal;"21594953";"Taylor and Francis Ltd.";No;No;0,326;Q1;22;35;146;1166;130;120;0,80;33,31;67,57;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2025";"Cultural Studies (Q1); Anthropology (Q2); Developmental and Educational Psychology (Q3); Education (Q3)";"Psychology; Social Sciences"
238;17086;"South Asia: Journal of South Asia Studies";journal;"14790270, 00856401";"Routledge";No;No;0,325;Q1;30;56;208;946;159;203;0,58;16,89;67,31;0;15;United Kingdom;Western Europe;"Routledge";"1971-1976, 1978-2024";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2); Development (Q3)";"Arts and Humanities; Social Sciences"
239;19700169970;"Journal of Intercultural Communication Research";journal;"17475759, 17475767";"Routledge";No;No;0,320;Q1;30;12;96;549;152;96;1,36;45,75;53,13;0;1;United Kingdom;Western Europe;"Routledge";"2006-2025";"Cultural Studies (Q1); Communication (Q2)";"Social Sciences"
240;27661;"Journal of Black Studies";journal;"00219347";"SAGE Publications Inc.";No;No;0,319;Q1;57;33;116;1864;156;114;1,14;56,48;55,17;0;15;United States;Northern America;"SAGE Publications Inc.";"1970-2025";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2)";"Social Sciences"
241;19900191484;"China Perspectives";journal;"19964617, 20703449";"French Centre for Research on Contemporary China";No;No;0,313;Q1;28;25;90;1101;95;81;0,76;44,04;34,38;0;11;Hong Kong;Asiatic Region;"French Centre for Research on Contemporary China";"2007-2024";"Cultural Studies (Q1); Political Science and International Relations (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
242;21100856464;"Settler Colonial Studies";journal;"18380743, 2201473X";"Taylor and Francis Ltd.";No;No;0,313;Q1;29;38;58;522;69;53;0,70;13,74;53,49;0;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Law (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
243;21101114186;"Comparative Southeast European Studies";journal;"27018199, 27018202";"Walter de Gruyter GmbH";Yes;Yes;0,312;Q1;8;21;84;770;83;82;0,97;36,67;48,65;0;9;Germany;Western Europe;"Walter de Gruyter GmbH";"2021-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Gender Studies (Q2); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
244;21213;"Speculum";journal;"20408072, 00387134";"University of Chicago Press";No;No;0,312;Q1;31;35;55;21;56;55;0,76;0,60;50,00;0;3;United States;Northern America;"University of Chicago Press";"1926-1995, 1998-1999, 2001-2024";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Religious Studies (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Social Sciences"
245;21100987403;"Westminster Papers in Communication and Culture";journal;"17446716";"University of Westminster Press";Yes;Yes;0,312;Q1;8;0;6;0;31;6;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;"University of Westminster Press";"2019-2021";"Cultural Studies (Q1); Communication (Q2)";"Social Sciences"
246;21100877661;"Civitas";journal;"19847289, 15196089";"Edipucrs";Yes;Yes;0,311;Q1;7;36;116;1133;53;116;0,27;31,47;68,63;0;16;Brazil;Latin America;"Edipucrs";"2018-2025";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Development (Q3)";"Social Sciences"
247;18929;"African Studies";journal;"00020184, 14692872";"Taylor and Francis Ltd.";No;No;0,310;Q1;33;10;68;486;95;66;0,95;48,60;21,43;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1942-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
248;21100860383;"Cultural-Historical Psychology";journal;"22248935, 18165435";"Moscow State University of Psychology and Education";Yes;Yes;0,310;Q1;12;55;149;1369;119;149;0,90;24,89;52,44;0;6;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2018-2024";"Cultural Studies (Q1); Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
249;21101169012;"Feminist Formations";journal;"21517363, 21517371";"Johns Hopkins University Press";No;No;0,310;Q1;9;36;141;923;89;115;0,43;25,64;96,67;0;8;United States;Northern America;"Johns Hopkins University Press";"2019-2024";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Gender Studies (Q2)";"Arts and Humanities; Social Sciences"
250;20500195081;"International Journal of Intangible Heritage";journal;"19753586, 19754019";"The National Folk Museum of Korea";Yes;No;0,310;Q1;12;14;43;556;26;36;0,65;39,71;63,64;0;7;South Korea;Asiatic Region;"The National Folk Museum of Korea";"2011-2024";"Conservation (Q1); Cultural Studies (Q1); Museology (Q1)";"Arts and Humanities; Social Sciences"
251;5700152785;"Voprosy Filosofii";journal;"00428744";"Izdatel'stvo Nauka";No;No;0,310;Q1;10;197;713;2432;138;707;0,22;12,35;37,35;0;17;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"2002-2025";"Cultural Studies (Q1); Philosophy (Q1); History and Philosophy of Science (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
252;21100843344;"Analisi";journal;"23405236, 02112175";"Universitat Autonoma de Barcelona";Yes;Yes;0,309;Q1;9;14;56;700;85;56;1,05;50,00;45,71;0;4;Spain;Western Europe;"Universitat Autonoma de Barcelona";"2017-2024";"Cultural Studies (Q1); Communication (Q2)";"Social Sciences"
253;21100940504;"Filosofskii Zhurnal";journal;"20720726, 26584883";"Russian Academy of Sciences";No;No;0,309;Q1;4;51;162;1108;25;162;0,22;21,73;33,33;0;6;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2019-2024";"Cultural Studies (Q1); History and Philosophy of Science (Q2); Linguistics and Language (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
254;5600153477;"Journal of Contemporary Religion";journal;"14699419, 13537903";"Routledge";No;No;0,309;Q1;40;36;74;1119;63;72;0,80;31,08;51,61;0;5;United Kingdom;Western Europe;"Routledge";"1995-2025";"Cultural Studies (Q1); Religious Studies (Q1); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
255;21100904782;"Studia Litterarum";journal;"25004247, 25418564";"Russian Academy of Sciences-A.M. Gorky Institute of World Literature";Yes;Yes;0,309;Q1;4;62;270;1689;51;270;0,21;27,24;69,23;0;2;Russian Federation;Eastern Europe;"Russian Academy of Sciences-A.M. Gorky Institute of World Literature";"2016-2024";"Cultural Studies (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
256;19700174629;"Cultura y Educacion";journal;"15784118, 11356405";"SAGE Publications Ltd";No;No;0,308;Q1;28;32;107;50;132;104;0,94;1,56;54,29;0;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2024";"Cultural Studies (Q1); Education (Q3)";"Social Sciences"
257;25354;"Canadian Journal of African Studies";journal;"00083968";"Taylor and Francis Ltd.";No;No;0,307;Q1;17;33;94;2280;91;88;1,07;69,09;35,85;1;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1976, 1980, 1982-1986, 1988-1996, 1999, 2001, 2014-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Sociology and Political Science (Q2); Development (Q3); Geography, Planning and Development (Q3)";"Arts and Humanities; Social Sciences"
258;21100842666;"Caucasus Survey";journal;"23761199, 23761202";"Brill Academic Publishers";No;No;0,304;Q1;14;17;52;1102;33;50;0,41;64,82;52,00;0;2;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Sociology and Political Science (Q2); Geography, Planning and Development (Q3)";"Arts and Humanities; Social Sciences"
259;20178;"Journal of Baltic Studies";journal;"17517877, 01629778";"Taylor and Francis Ltd.";No;No;0,303;Q1;27;68;99;4031;97;96;0,93;59,28;51,46;0;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2001, 2003-2025";"Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities; Social Sciences"
260;21100780796;"Journal of Indonesian Islam";journal;"23556994, 19786301";"State Islamic University of Sunan Ampel Surabaya";Yes;Yes;0,303;Q1;15;25;66;1284;64;66;0,98;51,36;26,32;0;10;Indonesia;Asiatic Region;"State Islamic University of Sunan Ampel Surabaya";"2007-2024";"Cultural Studies (Q1); History (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences"
261;21100403904;"Journal of Sufi Studies";journal;"22105956, 22105948";"Brill Academic Publishers";No;No;0,303;Q1;9;8;33;959;13;33;0,47;119,88;33,33;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2018, 2020-2024";"Cultural Studies (Q1); History (Q1); Religious Studies (Q1); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
262;21100887441;"Folia Geographica";journal;"24541001, 13366157";"University of Presov";Yes;Yes;0,302;Q1;11;8;35;734;59;35;2,15;91,75;36,84;0;3;Slovakia;Eastern Europe;"University of Presov";"2018-2024";"Cultural Studies (Q1); Urban Studies (Q2); Demography (Q3); Geography, Planning and Development (Q3)";"Social Sciences"
263;21100967508;"Santander Art and Culture Law Review";journal;"2450050X, 23917997";"Jagiellonian University Press";Yes;Yes;0,302;Q1;9;27;98;920;59;83;0,68;34,07;42,86;0;18;Poland;Eastern Europe;"Jagiellonian University Press";"2015-2024";"Conservation (Q1); Cultural Studies (Q1); Visual Arts and Performing Arts (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
264;21101089566;"Sexuality, Gender and Policy";journal;"26395355";"John Wiley and Sons Inc";No;No;0,302;Q1;5;25;41;996;39;34;0,84;39,84;53,97;0;17;United States;Northern America;"John Wiley and Sons Inc";"2017, 2019-2025";"Cultural Studies (Q1); Gender Studies (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
265;4700152620;"Journal of Indian Philosophy";journal;"00221791";"Springer Netherlands";No;No;0,301;Q1;25;31;100;1543;38;97;0,33;49,77;24,14;0;0;Netherlands;Western Europe;"Springer Netherlands";"1970-2025";"Cultural Studies (Q1); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
266;21101162620;"Yazyki i Fol'klor Korennykh Narodov Sibiri";journal;"23126337, 27129608";"Siberian Branch of the Russian Academy of Sciences, Institute of Philology";No;No;0,301;Q1;2;46;78;915;5;74;0,09;19,89;81,36;0;2;Russian Federation;Eastern Europe;"Siberian Branch of the Russian Academy of Sciences, Institute of Philology";"2019-2024";"Cultural Studies (Q1); Music (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
267;21100780471;"Asian Studies";journal;"22325131, 23504226";"University of Ljubljana Press";Yes;Yes;0,300;Q1;10;38;123;1386;92;113;0,68;36,47;34,29;0;1;Slovenia;Eastern Europe;"University of Ljubljana Press";"2013-2025";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Philosophy (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
268;27371;"Population and Societies";journal;"01847783";"Institut National d'Etudes Demographiques";No;No;0,300;Q1;17;10;32;63;33;32;0,80;6,30;62,07;0;3;France;Western Europe;"Institut National d'Etudes Demographiques";"1998-2003, 2009-2024";"Cultural Studies (Q1); Demography (Q3); Health (social science) (Q3)";"Social Sciences"
269;21100837232;"Epistemology and Philosophy of Science";journal;"1811833X, 23117133";"Institute of Philosophy, Russian Academy of Sciences";Yes;No;0,299;Q1;10;63;215;1494;62;211;0,27;23,71;35,38;0;1;Russian Federation;Eastern Europe;"Institute of Philosophy, Russian Academy of Sciences";"2017-2024";"Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); History and Philosophy of Science (Q2); Philosophy (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
270;21100301417;"European Journal of Geography";journal;"24107433, 17921341";"European Association of Geographers";Yes;Yes;0,299;Q1;17;25;81;1533;99;81;1,51;61,32;33,80;0;17;Belgium;Western Europe;"European Association of Geographers";"2010-2012, 2014-2025";"Cultural Studies (Q1); Urban Studies (Q2); Demography (Q3); Geography, Planning and Development (Q3)";"Social Sciences"
271;21100832763;"Brumal";journal;"20147910";"Universitat Autonoma de Barcelona";Yes;Yes;0,298;Q1;5;31;70;1316;21;69;0,31;42,45;48,15;0;4;Spain;Western Europe;"Universitat Autonoma de Barcelona";"2017-2024";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Communication (Q2)";"Arts and Humanities; Social Sciences"
272;21100390172;"Language and Dialogue";journal;"22104127, 22104119";"John Benjamins Publishing Company";No;No;0,298;Q1;15;21;65;922;49;58;0,64;43,90;69,23;0;1;Netherlands;Western Europe;"John Benjamins Publishing Company";"2011-2025";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
273;21100792726;"Dialogo Andino";journal;"07192681, 07162278";"Universidad de Tarapaca";Yes;Yes;0,296;Q1;13;40;235;1976;128;230;0,51;49,40;40,23;0;10;Chile;Latin America;"Universidad de Tarapaca";"2016-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2)";"Arts and Humanities; Social Sciences"
274;21100286463;"Geojournal of Tourism and Geosites";journal;"20651198, 20650817";"Editura Universitatii din Oradea";Yes;No;0,296;Q1;29;207;576;11460;1099;576;1,88;55,36;41,58;0;142;Romania;Eastern Europe;"Editura Universitatii din Oradea";"2013-2025";"Conservation (Q1); Cultural Studies (Q1); Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Earth and Planetary Sciences; Social Sciences"
275;21101122882;"Review of Religion and Chinese Society";journal;"22143955, 22143947";"Brill Academic Publishers";No;No;0,296;Q1;8;12;17;747;14;17;0,83;62,25;33,33;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2018, 2021-2024";"Cultural Studies (Q1); Religious Studies (Q1); Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities; Social Sciences"
276;21101122746;"Journal of Labor and Society";journal;"24714607";"Brill Academic Publishers";No;No;0,292;Q1;13;17;83;949;94;81;0,84;55,82;15,38;0;6;Netherlands;Western Europe;"Brill Academic Publishers";"2017-2024";"Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
277;21101090675;"Asia-Pacific Journal: Japan Focus";journal;"15574660";"Cambridge University Press";Yes;Yes;0,291;Q1;10;44;241;1581;102;218;0,40;35,93;44,64;0;19;United States;Northern America;"Cambridge University Press";"2019-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
278;19700182214;"Cultura. International Journal of Philosophy of Culture and Axiology";journal;"15841057, 20655002";"Cultura";No;No;0,289;Q1;10;98;84;2802;164;84;2,24;28,59;42,18;0;23;United States;Northern America;"Cultura";"2009-2025";"Cultural Studies (Q1); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
279;7000153201;"Estudios Atacamenos";journal;"07181043, 07160925";"Universidad Catolica del Norte";Yes;Yes;0,289;Q1;24;18;43;1371;34;43;0,67;76,17;45,00;0;7;Chile;Latin America;"Universidad Catolica del Norte";"2007-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
280;21100914238;"Asiascape: Digital Asia";journal;"22142312, 22142304";"Brill Academic Publishers";No;No;0,288;Q1;11;9;40;585;39;40;0,76;65,00;54,55;0;5;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2024";"Cultural Studies (Q1); Anthropology (Q2); Communication (Q2)";"Social Sciences"
281;21100857115;"Journal of Ethnology and Folkloristics";journal;"17366518, 22280987";"Sciendo";Yes;Yes;0,288;Q1;6;23;72;1339;47;67;0,75;58,22;28,00;0;4;Poland;Eastern Europe;"Sciendo";"2017-2024";"Cultural Studies (Q1); Anthropology (Q2)";"Social Sciences"
282;5800207412;"Journal of Intercultural Communication";journal;"14041634";"Immigrant Institutet";No;No;0,288;Q1;12;61;97;3352;166;97;1,71;54,95;38,40;0;17;Sweden;Western Europe;"Immigrant Institutet";"2011-2024";"Cultural Studies (Q1); Communication (Q2); Gender Studies (Q2); Linguistics and Language (Q2); Education (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
283;21101266015;"Eposovedenie";journal;"27824861";"M. K. Ammosov North-Eastern Federal University";Yes;No;0,287;Q1;4;36;122;972;24;117;0,24;27,00;80,49;0;4;Russian Federation;Eastern Europe;"M. K. Ammosov North-Eastern Federal University";"2020-2024";"Cultural Studies (Q1); Anthropology (Q2); Linguistics and Language (Q2)";"Social Sciences"
284;24328;"Revista de Indias";journal;"00348341, 19883188";"CSIC Consejo Superior de Investigaciones Cientificas";Yes;Yes;0,287;Q1;18;11;84;473;34;84;0,34;43,00;50,00;0;0;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1980, 1983, 1985-1987, 1996-2024";"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
285;21101058223;"Society and Culture in South Asia";journal;"23938617, 23949872";"Sage Publications India Pvt. Ltd";No;No;0,287;Q1;7;15;54;483;33;40;0,64;32,20;50,00;0;7;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"2015-2025";"Cultural Studies (Q1); Anthropology (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
286;19900188060;"Anthropological Journal of European Cultures";journal;"17552923, 17552931";"Berghahn Journals";Yes;Yes;0,286;Q1;13;20;54;547;32;50;0,55;27,35;66,67;0;10;United States;Northern America;"Berghahn Journals";"2008-2024";"Cultural Studies (Q1); Anthropology (Q2)";"Social Sciences"
287;19700169822;"Ikala";journal;"01233432";"Publishing University of Antioquia";Yes;Yes;0,286;Q1;14;38;116;1780;103;116;0,92;46,84;64,81;0;7;Colombia;Latin America;"Publishing University of Antioquia";"2013-2024";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Linguistics and Language (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
288;21100838052;"Qwerty";journal;"18287344, 22402950";"Progetti editoriali s.r.l.";No;No;0,286;Q1;10;13;45;455;50;39;0,89;35,00;75,00;0;1;Italy;Western Europe;"Progetti editoriali s.r.l.";"2017-2024";"Cultural Studies (Q1); Communication (Q2); Education (Q3); Human-Computer Interaction (Q4)";"Computer Science; Social Sciences"
289;5700153725;"Representations";journal;"07346018, 1533855X";"University of California Press";No;No;0,286;Q1;43;29;85;2105;56;84;0,77;72,59;43,48;0;0;United States;Northern America;"University of California Press";"1983-2025";"Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
290;5700153334;"Changing English";journal;"1358684X";"Routledge";No;No;0,285;Q1;23;47;108;1394;86;96;0,71;29,66;57,38;0;5;United States;Northern America;"Routledge";"1994-2025";"Cultural Studies (Q1); Education (Q3)";"Social Sciences"
291;21101210514;"Jurnal Studi Ilmu-ilmu al-Qur'an dan Hadis";journal;"14116855, 25484737";"State Islamic University Sunan Kalijaga Faculty of Ushuluddin and Islamic Thought";Yes;Yes;0,283;Q1;3;17;37;884;30;37;0,81;52,00;10,00;0;6;Indonesia;Asiatic Region;"State Islamic University Sunan Kalijaga Faculty of Ushuluddin and Islamic Thought";"2022-2024";"Cultural Studies (Q1); History (Q1); Religious Studies (Q1); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
292;9500154011;"Journal of African American Studies";journal;"15591646";"Springer New York";No;No;0,281;Q1;25;20;99;1102;79;87;0,75;55,10;58,82;0;11;United States;Northern America;"Springer New York";"1996, 2003-2005, 2008-2025";"Cultural Studies (Q1); Gender Studies (Q2); Sociology and Political Science (Q2)";"Social Sciences"
293;5600155209;"Modern Italy";journal;"13532944, 14699877";"Cambridge University Press";No;No;0,281;Q1;23;38;73;1898;44;68;0,55;49,95;65,91;0;15;United Kingdom;Western Europe;"Cambridge University Press";"1995, 1997-2000, 2002-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
294;19700177033;"Artnodes";journal;"16955951";"Universitat Oberta de Catalunya";Yes;Yes;0,280;Q1;10;47;105;1382;50;104;0,51;29,40;45,31;0;9;Spain;Western Europe;"Universitat Oberta de Catalunya";"2009-2025";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q3); Computer Science Applications (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
295;15693;"Journal of Modern Italian Studies";journal;"14699583, 1354571X";"Taylor and Francis Ltd.";No;No;0,279;Q1;30;30;107;1437;95;97;0,88;47,90;38,71;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2025";"Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
296;4700152636;"Mind and Society";journal;"15937879";"Springer Verlag";No;No;0,278;Q1;24;13;50;875;78;47;1,16;67,31;18,18;0;2;Germany;Western Europe;"Springer Verlag";"2005-2025";"Cultural Studies (Q1); History (Q1); Philosophy (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Psychology; Social Sciences"
297;19900188001;"Poverty and Public Policy";journal;"21946027, 19442858";"John Wiley and Sons Inc";No;No;0,278;Q1;19;22;69;903;80;57;0,96;41,05;46,55;0;16;United States;Northern America;"John Wiley and Sons Inc";"2009-2024";"Cultural Studies (Q1); Sociology and Political Science (Q2)";"Social Sciences"
298;21101151824;"International Quarterly for Asian Studies";journal;"2566686X, 25666878";"Arnold-Bergstraesser-Institute";Yes;Yes;0,275;Q1;6;22;59;1475;58;50;1,16;67,05;27,27;1;15;Germany;Western Europe;"Arnold-Bergstraesser-Institute";"2019-2024";"Cultural Studies (Q1); Anthropology (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
