Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";"Wiley-Blackwell Publishing Ltd";No;No;2,407;Q1;53;9;23;1471;213;23;6,73;163,44;57,14;1;6;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2025";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
12;11200153507;"Journal of Mixed Methods Research";journal;"15586898, 15586901";"SAGE Publications Ltd";No;No;2,328;Q1;71;49;90;1892;517;66;6,32;38,61;59,56;0;11;United States;Northern America;"SAGE Publications Ltd";"2007-2025";"Education (Q1); Social Sciences (miscellaneous) (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
13;28964;"Journal of Applied Econometrics";journal;"10991255, 08837252";"John Wiley and Sons Ltd";No;No;2,305;Q1;123;79;186;3389;595;186;3,45;42,90;22,70;14;28;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1986-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
14;19400158343;"Current Opinion in Environmental Sustainability";journal;"18773435";"Elsevier B.V.";No;No;2,150;Q1;133;49;256;2958;2076;248;7,11;60,37;48,74;4;39;Netherlands;Western Europe;"Elsevier B.V.";"2009-2025";"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
15;100147024;"Qualitative Research";journal;"14687941";"SAGE Publications Ltd";No;No;2,113;Q1;101;137;210;7983;1357;209;6,77;58,27;68,33;2;38;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2025";"History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
16;19700201681;"Environmental Innovation and Societal Transitions";journal;"22104232, 22104224";"Elsevier B.V.";No;No;2,108;Q1;86;110;281;10264;2115;268;6,82;93,31;44,91;7;87;Netherlands;Western Europe;"Elsevier B.V.";"2011-2025";"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)";"Energy; Environmental Science; Social Sciences"
17;25680;"Journal of Youth and Adolescence";journal;"15736601, 00472891";"Springer New York";No;No;2,043;Q1;155;218;502;14142;2941;497;4,71;64,87;58,89;1;70;United States;Northern America;"Springer New York";"1972-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Psychology; Social Sciences"
18;25678;"Journal of Research on Adolescence";journal;"10508392, 15327795";"Wiley-Blackwell Publishing Ltd";No;No;2,030;Q1;120;124;285;8457;1689;277;4,18;68,20;62,68;1;44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993, 1996-2025";"Behavioral Neuroscience (Q1); Cultural Studies (Q1); Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
19;23411;"Journal of Industrial Ecology";journal;"10881980, 15309290";"Wiley-Blackwell";No;No;2,011;Q1;141;139;378;9220;2898;373;7,34;66,33;31,69;6;137;United States;Northern America;"Wiley-Blackwell";"1997-2025";"Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
20;23439;"Politics and Society";journal;"00323292, 15527514";"SAGE Publications Inc.";No;No;1,973;Q1;84;29;65;0;344;60;4,30;0,00;19,64;3;17;United States;Northern America;"SAGE Publications Inc.";"1970-1990, 1992-2024";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
21;21101158600;"Journal of Metaverse";journal;"27920232";"Izmir Academy Association";Yes;Yes;1,955;Q1;17;16;35;869;571;35;11,23;54,31;44,12;0;2;Turkey;Middle East;"Izmir Academy Association";"2021-2024";"Artificial Intelligence (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
22;15143;"Regional Studies";journal;"13600591, 00343404";"Routledge";No;No;1,904;Q1;148;218;512;15066;3235;493;5,54;69,11;32,69;25;148;United Kingdom;Western Europe;"Routledge";"1967-2025";"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
23;21101158576;"Harvard Kennedy School Misinformation Review";journal;"27661652";"Harvard Kennedy School";Yes;Yes;1,858;Q1;32;38;72;1301;465;62;5,53;34,24;34,09;1;8;United States;Northern America;"Harvard Kennedy School";"2020-2024";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
24;27204;"International Journal of Social Research Methodology: Theory and Practice";journal;"14645300, 13645579";"Taylor and Francis Ltd.";No;No;1,810;Q1;89;96;191;4053;1322;183;4,78;42,22;60,24;4;25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
25;30088;"Journal of Social Issues";journal;"00224537, 15404560";"Wiley-Blackwell Publishing Ltd";No;No;1,746;Q1;153;58;172;6153;1022;171;4,64;106,09;60,54;1;26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1945-2024";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
26;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";"Oxford University Press";No;No;1,721;Q1;124;52;147;2678;543;145;2,79;51,50;28,06;2;17;United Kingdom;Western Europe;"Oxford University Press";"1937-2024";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
27;21100886215;"RSF";journal;"23778253, 23778261";"Russell Sage Foundation";Yes;Yes;1,679;Q1;39;42;142;3381;542;142;3,63;80,50;54,69;0;26;United States;Northern America;"Russell Sage Foundation";"2015-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
28;21101045327;"AERA Open";journal;"23328584";"SAGE Publications Inc.";Yes;No;1,659;Q1;48;113;263;8205;1253;261;4,46;72,61;58,94;3;58;United States;Northern America;"SAGE Publications Inc.";"2015-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Social Sciences (miscellaneous) (Q1)";"Psychology; Social Sciences"
29;21101257044;"Life Medicine";journal;"27551733";"Oxford University Press";Yes;Yes;1,651;Q1;12;44;103;2683;258;84;2,50;60,98;40,23;1;12;United Kingdom;Western Europe;"Oxford University Press";"2022-2024";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Mathematics (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Mathematics; Social Sciences"
30;144820;"Journal of Happiness Studies";journal;"13894978";"Springer Netherlands";No;No;1,648;Q1;116;120;468;8714;2397;468;4,16;72,62;49,05;1;27;Netherlands;Western Europe;"Springer Netherlands";"2001, 2003, 2005-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
31;15653;"Journal of Marriage and Family";journal;"17413737, 00222445";"Wiley-Blackwell Publishing Ltd";No;No;1,609;Q1;190;86;215;6379;901;213;4,18;74,17;61,98;1;31;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-1978, 1980-1981, 1985, 1996-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)";"Arts and Humanities; Social Sciences"
32;21101075549;"Postdigital Science and Education";journal;"2524485X, 25244868";"Springer International Publishing AG";No;No;1,591;Q1;36;100;172;5820;1006;93;5,67;58,20;52,15;3;17;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Arts and Humanities (miscellaneous) (Q1); Education (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
33;21100936623;"Campbell Systematic Reviews";journal;"18911803";"John Wiley &amp; Sons Inc.";Yes;Yes;1,585;Q1;26;79;213;12415;1410;205;7,34;157,15;60,15;5;38;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
34;21100777183;"Journal of Family Theory and Review";journal;"17562589, 17562570";"Wiley-Blackwell Publishing Ltd";No;No;1,580;Q1;43;62;108;4733;580;104;4,91;76,34;70,34;0;13;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2016-2025";"Health (social science) (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Psychology; Social Sciences"
35;26350;"Journal of European Social Policy";journal;"14617269, 09589287";"SAGE Publications Ltd";No;No;1,545;Q1;90;40;119;2209;557;119;4,44;55,23;55,95;5;33;United Kingdom;Western Europe;"SAGE Publications Ltd";"1991-2025";"Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
36;21101063742;"Earth System Governance";journal;"25898116";"Elsevier B.V.";Yes;No;1,539;Q1;23;25;100;1867;588;87;5,00;74,68;51,46;2;22;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
37;18699;"Theory, Culture and Society";journal;"02632764, 14603616";"SAGE Publications Ltd";No;No;1,531;Q1;136;81;202;3912;728;198;3,15;48,30;22,45;0;8;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
38;21101114532;"Ijtihad: Jurnal Wacana Hukum Islam dan Kemanusiaan";journal;"14119544, 24778036";"Faculty of Sharia State Islamic University of Salatiga";Yes;No;1,517;Q1;12;13;38;991;243;38;7,68;76,23;20,69;0;6;Indonesia;Asiatic Region;"Faculty of Sharia State Islamic University of Salatiga";"2019-2024";"Law (Q1); Religious Studies (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
39;23168;"Language Testing";journal;"02655322, 14770946";"SAGE Publications Ltd";No;No;1,511;Q1;89;50;107;2347;412;97;3,03;46,94;46,39;0;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1984-2025";"Linguistics and Language (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
40;22738;"Philosophy and Public Affairs";journal;"10884963, 00483915";"Wiley-Blackwell Publishing Ltd";No;No;1,508;Q1;87;19;42;0;174;39;3,37;0,00;12,50;0;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-1982, 1984-1986, 1988-2001, 2003-2025";"History and Philosophy of Science (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
41;11600154701;"Police Quarterly";journal;"10986111, 1552745X";"SAGE Publications Inc.";No;No;1,503;Q1;69;36;67;2296;357;67;5,02;63,78;45,92;0;10;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
42;144986;"Career Development International";journal;"13620436";"Emerald Group Publishing Ltd.";No;No;1,483;Q1;86;54;125;3734;662;121;5,44;69,15;59,31;0;22;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1996-2025";"Organizational Behavior and Human Resource Management (Q1); Social Sciences (miscellaneous) (Q1)";"Business, Management and Accounting; Social Sciences"
43;21101097039;"Sociology of Race and Ethnicity";journal;"23326506, 23326492";"SAGE Publications Inc.";No;No;1,454;Q1;40;55;122;3362;459;111;3,45;61,13;56,99;1;29;United States;Northern America;"SAGE Publications Inc.";"2015-2025";"Anthropology (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
44;18090;"Sociological Methodology";journal;"14679531, 00811750";"SAGE Publications Ltd";No;No;1,440;Q1;66;17;36;1014;128;36;2,96;59,65;50,00;0;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-1990, 1993, 1996-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
45;21100830505;"Communication and Sport";journal;"21674809, 21674795";"SAGE Publications Ltd";No;No;1,418;Q1;35;114;172;7067;884;160;4,99;61,99;38,01;0;30;United Kingdom;Western Europe;"SAGE Publications Ltd";"2015-2025";"Communication (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
46;36450;"Design Studies";journal;"0142694X";"Elsevier Ltd";No;No;1,410;Q1;116;19;100;1152;628;95;6,54;60,63;52,46;0;5;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Architecture (Q1); Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
47;21100902871;"International Journal for Educational Integrity";journal;"18332595";"BioMed Central Ltd";Yes;No;1,405;Q1;28;26;77;1274;785;74;10,15;49,00;52,53;1;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2015-2025";"Education (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
48;144933;"Review of Economics of the Household";journal;"15737152, 15695239";"Kluwer Academic Publishers";No;No;1,395;Q1;48;88;145;4647;655;143;2,82;52,81;45,79;16;62;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
49;13300154704;"Geography Compass";journal;"17498198";"John Wiley and Sons Inc";No;No;1,391;Q1;90;41;121;4161;606;120;4,20;101,49;48,44;1;21;United States;Northern America;"John Wiley and Sons Inc";"2008-2025";"Atmospheric Science (Q1); Computers in Earth Sciences (Q1); Earth-Surface Processes (Q1); Social Sciences (miscellaneous) (Q1); Water Science and Technology (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
50;14871;"International Journal of Behavioral Development";journal;"01650254, 14640651";"SAGE Publications Ltd";No;No;1,384;Q1;112;85;167;4861;644;166;4,26;57,19;62,15;5;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1978-2025";"Developmental and Educational Psychology (Q1); Developmental Neuroscience (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
51;21101134668;"Human-Machine Communication";journal;"2638602X, 26386038";"Communication and Social Robotics Labs";Yes;Yes;1,381;Q1;14;29;44;1729;216;44;3,96;59,62;57,83;0;4;United States;Northern America;"Communication and Social Robotics Labs";"2020-2024";"Communication (Q1); Health (social science) (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
52;18916;"Social Science Computer Review";journal;"15528286, 08944393";"SAGE Publications Inc.";No;No;1,374;Q1;96;129;273;8399;1595;272;5,50;65,11;43,23;2;34;United States;Northern America;"SAGE Publications Inc.";"1983-2025";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
53;26043;"Economy and Society";journal;"03085147, 14695766";"Routledge";No;No;1,343;Q1;103;33;92;2511;401;92;4,26;76,09;41,07;1;17;United Kingdom;Western Europe;"Routledge";"1972-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
54;14152;"Family Process";journal;"15455300, 00147370";"Wiley-Blackwell Publishing Ltd";No;No;1,329;Q1;98;152;312;9252;1191;301;3,50;60,87;67,08;0;38;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2025";"Clinical Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Psychology; Social Sciences"
55;18173;"Mathematical Finance";journal;"09601627, 14679965";"Wiley-Blackwell Publishing Ltd";No;No;1,327;Q1;89;39;108;2115;300;108;2,91;54,23;23,53;0;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2025";"Accounting (Q1); Applied Mathematics (Q1); Economics and Econometrics (Q1); Finance (Q1); Social Sciences (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Mathematics; Social Sciences"
56;14000155895;"Sociology Compass";journal;"17519020";"John Wiley and Sons Inc";No;No;1,310;Q1;63;134;266;11160;1124;262;2,94;83,28;47,06;1;78;United States;Northern America;"John Wiley and Sons Inc";"2011-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
57;24377;"Social Studies of Science";journal;"14603659, 03063127";"SAGE Publications Ltd";No;No;1,293;Q1;110;53;130;3883;529;122;3,82;73,26;45,65;2;21;United Kingdom;Western Europe;"SAGE Publications Ltd";"1971-2025";"History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
58;23715;"Science Technology and Human Values";journal;"01622439, 15528251";"SAGE Publications Inc.";No;No;1,290;Q1;96;97;179;5946;757;163;3,83;61,30;62,42;2;44;United States;Northern America;"SAGE Publications Inc.";"1976-2025";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
59;14929;"Global Networks";journal;"14710374, 14702266";"Wiley-Blackwell Publishing Ltd";No;No;1,285;Q1;90;53;146;3563;619;145;3,96;67,23;52,53;1;22;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2001-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
60;21100386467;"Sleep Health";journal;"23527218";"Elsevier Inc.";No;No;1,285;Q1;51;144;337;5843;1189;302;3,21;40,58;55,52;0;37;United States;Northern America;"Elsevier Inc.";"2015-2025";"Behavioral Neuroscience (Q1); Health (social science) (Q1); Neuropsychology and Physiological Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
61;25675;"Journal of Early Adolescence";journal;"15525449, 02724316";"SAGE Publications Inc.";No;No;1,264;Q1;85;80;144;5506;549;143;3,81;68,83;61,97;0;30;United States;Northern America;"SAGE Publications Inc.";"1981-2025";"Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
62;21100364916;"IEEE Transactions on Computational Social Systems";journal;"2329924X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,257;Q1;68;793;595;39415;4547;580;7,27;49,70;31,66;0;154;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2025";"Human-Computer Interaction (Q1); Modeling and Simulation (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Mathematics; Social Sciences"
63;15528;"Annals of the American Academy of Political and Social Science";journal;"15523349, 00027162";"SAGE Publications Inc.";No;No;1,253;Q1;131;13;257;480;890;243;3,12;36,92;56,25;0;10;United States;Northern America;"SAGE Publications Inc.";"1890-2024";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
64;16444;"Journal of Educational and Behavioral Statistics";journal;"10769986, 19351054";"SAGE Publications Inc.";No;No;1,253;Q1;76;68;88;2842;221;81;2,72;41,79;29,73;0;3;United States;Northern America;"SAGE Publications Inc.";"1996-2025";"Education (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
65;20369;"Journal of Family Violence";journal;"08857482, 15732851";"Springer New York";No;No;1,243;Q1;98;237;374;13551;1544;369;4,39;57,18;75,60;10;232;United States;Northern America;"Springer New York";"1986-2025";"Clinical Psychology (Q1); Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
66;22773;"Policy Sciences";journal;"00322687, 15730891";"Springer Netherlands";No;No;1,217;Q1;78;43;109;3508;536;107;4,09;81,58;52,27;1;23;Netherlands;Western Europe;"Springer Netherlands";"1970-2025";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
67;21101064807;"Cleaner and Responsible Consumption";journal;"26667843";"Elsevier B.V.";Yes;No;1,198;Q1;22;84;146;6919;1025;144;6,49;82,37;47,74;0;69;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2025";"Economics and Econometrics (Q1); Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Economics, Econometrics and Finance; Energy; Environmental Science; Social Sciences"
68;21100855741;"Sociological Science";journal;"23306696";"Society for Sociological Science";Yes;No;1,197;Q1;45;39;70;2947;181;70;2,02;75,56;36,21;0;23;United States;Northern America;"Society for Sociological Science";"2014-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
69;21100975562;"Sports Coaching Review";journal;"21640637, 21640629";"Taylor and Francis Ltd.";No;No;1,191;Q1;27;39;87;2350;330;86;3,32;60,26;32,80;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2025";"Business and International Management (Q1); Social Sciences (miscellaneous) (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Social Sciences"
70;21101134736;"SSM - Mental Health";journal;"26665603";"Elsevier Ltd";Yes;No;1,190;Q1;18;91;261;5697;841;252;2,89;62,60;63,16;3;47;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2025";"Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Psychology; Social Sciences"
71;21101021489;"Socius";journal;"23780231";"SAGE Publications Inc.";Yes;No;1,185;Q1;43;160;355;9703;1165;355;2,03;60,64;50,60;1;84;United States;Northern America;"SAGE Publications Inc.";"2015-2025";"Social Sciences (miscellaneous) (Q1)";"Social Sciences"
72;147233;"Punishment and Society";journal;"17413095, 14624745";"SAGE Publications Ltd";No;No;1,176;Q1;73;61;135;3957;498;134;3,47;64,87;55,81;0;33;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2025";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
73;25987;"Social Networks";journal;"03788733";"Elsevier B.V.";No;No;1,168;Q1;120;70;227;4718;708;225;2,90;67,40;32,42;0;14;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Anthropology (Q1); Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
74;24222;"Scientometrics";journal;"15882861, 01389130";"Akademiai Kiado";No;No;1,152;Q1;154;338;1092;18506;4977;996;3,89;54,75;37,82;9;62;Hungary;Eastern Europe;"Akademiai Kiado";"1978-2025";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
